Kabul,74919,9035802,1780000
Qandahar,37378,8342343,237500
Herat,99739,7189763,186800
Mazar-e-Sharif,46147,4610739,127800
Amsterdam,47856,3793977,731200
Rotterdam,4433,5511953,593321
Haag,61078,7034664,440900
Utrecht,81017,1361213,234323
Eindhoven,67454,4312284,201843
Tilburg,62671,3762806,193238
Groningen,64867,9960281,172701
Breda,24972,3544492,160398
Apeldoorn,53314,7673317,153491
Nijmegen,95347,837400,152463
Enschede,18283,247195,149544
Haarlem,96377,2646878,148772
Almere,55080,1493340,142465
Arnhem,49748,481638,138020
Zaanstad,80306,7766133,135621
Jïs-Hertogenbosch,36609,52815,129170
Amersfoort,15756,3599967,126270
Maastricht,91533,3067457,122087
Dordrecht,11413,6808082,119811
Leiden,13202,9157404,117196
Haarlemmermeer,319,8328968,110722
Zoetermeer,65760,28319,110214
Emmen,90694,6706686,105853
Zwolle,46756,73898,105819
Ede,26747,2861144,101574
Delft,61577,7282503,95268
Heerlen,3097,5705839,95052
Alkmaar,5592,8645876,92713
Willemstad,80452,4285654,2345
Tirana,95775,6761641,270000
Alger,80509,4079036,2168000
Oran,9003,5096431,609823
Constantine,11589,4235229,443727
Annaba,47364,18478,222518
Batna,35271,6480649,183377
SÇ¸tif,56741,4044405,179055
Sidi Bel AbbÇùs,7371,3140693,153106
Skikda,61154,6899023,128747
Biskra,6190,84895,128281
Blida (el-Boulaida),53072,8437379,127284
BÇ¸jaÇîa,86262,6755435,117162
Mostaganem,63008,9313776,115212
TÇ¸bessa,61764,2022649,112007
Tlemcen (Tilimsen),20881,3182452,110242
BÇ¸char,64618,9219724,107311
Tiaret,82131,2870034,100118
Ech-Chleff (el-Asnam),42810,892654,96794
GhardaÇîa,99295,1310020,89415
Tafuna,12019,5512339,5200
Fagatogo,26790,3459602,2323
Andorra la Vella,88161,1119984,21189
Luanda,86785,6167329,2022000
Huambo,44654,5088343,163100
Lobito,54408,3163745,130000
Benguela,88504,5966016,128300
Namibe,79411,1444454,118200
South Hill,5071,6173816,961
The Valley,45588,8212311,595
Saint John¶ïs,73774,4864723,24000
Dubai,41372,6082015,669181
Abu Dhabi,84021,4324100,398695
Sharja,67995,6498844,320095
al-Ayn,20037,7563371,225970
Ajman,24901,387249,114395
Buenos Aires,18391,8840328,2982146
La Matanza,91913,4930597,1266461
CÇürdoba,31864,8594684,1157507
Rosario,21889,1664437,907718
Lomas de Zamora,27580,6654001,622013
Quilmes,44223,7864303,559249
Almirante Brown,63666,4894249,538918
La Plata,125,425265,521936
Mar del Plata,54228,7893183,512880
San Miguel de TucumÇ­n,12906,7947258,470809
LanÇ§s,88139,4175950,469735
Merlo,70779,6566235,463846
General San MartÇðn,93539,980521,422542
Salta,15767,5202225,367550
Moreno,67631,5488579,356993
Santa FÇ¸,59978,9398528,353063
Avellaneda,29934,6982070,353046
Tres de Febrero,6351,8315083,352311
MorÇün,90345,3386953,349246
Florencio Varela,7287,8110357,315432
San Isidro,20215,1225589,306341
Tigre,88303,3237834,296226
Malvinas Argentinas,38332,414500,290335
Vicente LÇüpez,35990,3031402,288341
Berazategui,79110,1285227,276916
Corrientes,26425,7254659,258103
San Miguel,29742,5207459,248700
BahÇða Blanca,8076,5300081,239810
Esteban EcheverrÇða,65840,6231837,235760
Resistencia,10668,7977766,229212
JosÇ¸ C. Paz,88943,4943058,221754
ParanÇ­,9011,6337346,207041
Godoy Cruz,78548,7315605,206998
Posadas,64003,1936479,201273
GuaymallÇ¸n,68295,4058120,200595
Santiago del Estero,84552,2339689,189947
San Salvador de Jujuy,35971,5635964,178748
Hurlingham,88907,7789198,170028
NeuquÇ¸n,2446,2105970,167296
ItuzaingÇü,11889,6940092,158197
San Fernando,65701,3734517,153036
Formosa,5130,2285408,147636
Las Heras,86771,1813653,145823
La Rioja,23721,4554588,138117
San Fernando del Valle de Cata,77654,9464978,134935
RÇðo Cuarto,77059,8830812,134355
Comodoro Rivadavia,28640,3810633,124104
