1619,Seven Years in Tibet (1997),Drama|War,1997,3
1633,Ulee's Gold (1997),Drama,1997,4
1639,Chasing Amy (1997),Comedy|Drama|Romance,1997,4
1640,How to Be a Player (1997),Comedy,1997,2
1660,Eve's Bayou (1997),Drama,1997,4
1663,Stripes (1981),Comedy|War,1981,4
1673,Boogie Nights (1997),Drama,1997,3
1674,Witness (1985),Drama|Romance|Thriller,1985,3
1680,Sliding Doors (1998),Drama|Romance,1998,4
1693,Amistad (1997),Drama,1997,4
1704,Good Will Hunting (1997),Drama|Romance,1997,4
1721,Titanic (1997),Drama|Romance,1997,1
1729,Jackie Brown (1997),Crime|Drama|Thriller,1997,4
1730,Kundun (1997),Drama,1997,3
1733,Afterglow (1997),Drama|Romance,1997,3
1735,Great Expectations (1998),Drama|Romance,1998,2
1747,Wag the Dog (1997),Comedy,1997,4
1748,Dark City (1998),Adventure|Fantasy|Film-Noir|Sci-Fi|Thriller,1998,4
1755,Shooting Fish (1997),Comedy|Romance,1997,4
1784,As Good As It Gets (1997),Comedy|Drama|Romance,1997,3
1788,Men with Guns (1997),Action|Drama,1997,4
1810,Primary Colors (1998),Comedy|Drama,1998,4
1835,City of Angels (1998),Drama|Fantasy|Romance,1998,1.5
1840,He Got Game (1998),Drama,1998,3
1859,Taste of Cherry (Ta'm e guilass) (1997),Drama,1997,5
1876,Deep Impact (1998),Drama|Sci-Fi|Thriller,1998,3
1883,Bulworth (1998),Comedy|Drama|Romance,1998,3
1888,Hope Floats (1998),Comedy|Drama|Romance,1998,2
1894,Six Days Seven Nights (1998),Adventure|Comedy|Romance,1998,2.5
1895,Can't Hardly Wait (1998),Comedy|Drama|Romance,1998,3
1897,High Art (1998),Drama|Romance,1998,4
1902,Dream for an Insomniac (1996),Drama|Romance,1996,4
1911,Dr. Dolittle (1998),Comedy,1998,3
1914,Smoke Signals (1998),Comedy|Drama,1998,4
1916,Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance,1998,4
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,1998,1.5
1918,Lethal Weapon 4 (1998),Action|Comedy|Crime|Thriller,1998,3
1920,Small Soldiers (1998),Animation|Children|Fantasy|War,1998,2
1921,Pi (1998),Sci-Fi|Thriller,1998,3
1923,There's Something About Mary (1998),Comedy|Romance,1998,4
1927,All Quiet on the Western Front (1930),Action|Drama|War,1930,4
